contact_id,first_name,last_name,email,city,state,zip_code,donor_status,contact_created_date,first_gift_date,last_gift_date,total_gifts,total_number_of_gifts,average_gift,giving_vehicle,subscription_type,subscription_status,subscription_start_date,email_open_rate,last_email_click_date,event_attendance_count,wealth_score,notes,p2g_score,gift_capacity_rating,estimated_annual_donations,title,deceased,biography,business_affiliations,community_affiliations,expertise_and_interests,do_not_contact,do_not_call,email_opt_out,preferred_phone,preferred_email,hedgehog_review_subscriber,institute_status,foundation_status,lead_source,largest_gift,smallest_gift,best_gift_year,last_gift_amount
003XX00000BRNtp3Fa,Denise,Anderson,denise.anderson0@example.com,New York,NY,11277,active,2019-07-30,2023-07-05,2025-01-13,40,3,13.33,stock,print,expired,2018-12-16,,,0,2,,,,305.05,,0,,,,,1,1,1,Mobile,Work,1,Friend,None,Hedgehog Review,20.0,20.0,2023,20.0
003XX00000RnWWMQ6o,Betty,Carter,betty.carter1@example.com,Richmond,VA,23031,prospect,2019-05-10,,,,,,,none,never,,0.338,,0,5,,,,2038.6,,0,,,,,0,0,0,Mobile,,0,Friend,Prospect,Hedgehog Review,,,,
003XX00000mxaDX9g8,Mark,Martin,mark.martin2@example.com,,,,prospect,2007-07-28,,,,,,,none,never,,0.258,2026-01-18,8,,,,,,,0,,,,,0,0,0,,,1,None,Prospect,,,,,
003XX00000OOjEty8h,Ibrahim,Flores,ibrahim.flores3@example.com,Berkeley,CA,94521,prospect,2011-12-25,,,,,,,none,never,,0.327,,0,,,,,,Director,0,,,,,0,0,0,Mobile,,1,Friend,Prospect,Other,,,,
003XX00000dwyLGaac,Dylan,Murphy,dylan.murphy4@example.com,,,,lapsed,2019-06-30,2020-01-17,2020-05-21,35,1,35.0,check,print,active,2018-12-04,0.394,,0,1,,11,,,,0,,"Board of Directors, United Way of Greater Charlottesville",Harvard Club of Washington DC; Kennedy Center Patron,,0,0,0,,,1,None,None,Hedgehog Review,35,35,2020,35
003XX000008jhuDkf0,Emma,Ramirez,emma.ramirez5@example.com,St. Louis,MO,63123,active,2010-04-11,2019-05-01,2020-09-03,50,5,10.0,online,none,never,,0.235,,0,3,,14,,212.7,Director,0,,,,,0,0,0,,,0,None,None,Hedgehog Review,20.0,20.0,2019,20.0
003XX00000Sp6IHGiQ,Amara,Shapiro,amara.shapiro6@example.com,Orlando,FL,33187,prospect,2006-02-21,,,,,,,print,active,2012-05-30,,,0,3,Known DAF holder at Fidelity Charitable,,,,Assistant Professor,0,,,,"Medical humanities, bioethics",0,0,0,,,1,None,Prospect,Direct Mail,,,,
003XX00000pVi28u5O,Rebecca,Young,rebecca.young7@example.com,Columbus,OH,43252,prospect,2007-11-26,,,,,,,none,never,,0.412,,0,4,Known DAF holder at Fidelity Charitable,,,4369.48,,0,,,,"Philanthropy law, estate planning",0,0,0,,Personal,0,None,Prospect,Website,,,,
003XX00000GatTlfXj,Shirley,Jones,shirley.jones8@example.com,Fort Worth,TX,77066,lapsed,2023-01-31,2023-01-31,2023-05-12,20.0,3,6.67,online,none,never,,0.279,2025-09-23,6,3,,,,,,0,,,,,0,0,0,Mobile,Personal,0,None,None,Hedgehog Review,20.0,20.0,2023,20.0
003XX00000pNMBPd0E,Amara,Walker,amara.walker9@example.com,Oakland,CA,90091,prospect,2008-04-23,,,,,,,none,never,,,,1,,Connected through local arts community,,,,,0,,,,,0,0,0,,,0,None,Prospect,Event,,,,
003XX00000bu0RweOb,George,Okafor,george.okafor10@example.com,,,,prospect,2012-03-04,,,,,,,none,never,,,,0,,Former colleague of board member,,,,,0,,,,,0,0,0,,Personal,1,None,Prospect,Direct Mail,,,,
003XX00000uhlNNbBU,Adam,Cohen,adam.cohen11@example.com,Washington,DC,20059,lapsed,2013-11-02,2020-06-22,2023-08-22,25,4,6.25,check,both,active,2017-01-02,0.155,,1,2,,20,,209.49,,0,Emeritus professor of sociology at Georgetown; founding donor to the Institute.,,,"American intellectual history, political philosophy",0,0,0,,,1,None,None,Hedgehog Review,20.0,20.0,2021,20.0
003XX00000j5j4X6Mk,Helen,Wilson,helen.wilson12@example.com,,,,prospect,2011-10-07,,,,,,,none,never,,0.067,,0,,,,,4129.42,SVP,0,,,,,0,0,0,,,0,None,Prospect,Hedgehog Review,,,,
